Layer,Sample_ID,Tooth,dist_ERJ,Taxon,element,d13C,d18O_carb_VPDB,d18O_carb_VSMOW
III,AXL59.0,AXL59,NA,Bos/Bison sp,"M3, lower, right",NA,NA,NA
III,AXL59.1,AXL59,1.86,Bos/Bison sp,"M3, lower, right",-8.21,-6.5,24.2
III,AXL59.2,AXL59,4.51,Bos/Bison sp,"M3, lower, right",-8.31,-6.92,23.8
III,AXL59.3,AXL59,7.27,Bos/Bison sp,"M3, lower, right",-8.78,-7.31,23.4
III,AXL59.4,AXL59,10.14,Bos/Bison sp,"M3, lower, right",-8.74,-6.75,24
III,AXL59.5,AXL59,13,Bos/Bison sp,"M3, lower, right",-9.15,-6.73,24
III,AXL59.6,AXL59,15.6,Bos/Bison sp,"M3, lower, right",-9.17,-5.54,25.2
III,AXL59.7,AXL59,18.52,Bos/Bison sp,"M3, lower, right",-9.15,-5.72,25
III,AXL59.8,AXL59,21.27,Bos/Bison sp,"M3, lower, right",-9.58,-5.69,25
III,AXL59.9,AXL59,23.58,Bos/Bison sp,"M3, lower, right",-9.3,-5.89,24.8
III,AXL59.10,AXL59,25.71,Bos/Bison sp,"M3, lower, right",-8.99,-5.61,25.1
III,AXL59.11,AXL59,28.88,Bos/Bison sp,"M3, lower, right",-8.93,-5.35,25.4
III,AXL59.12,AXL59,31.13,Bos/Bison sp,"M3, lower, right",-8.86,-5.23,25.5
III,AXL59.13,AXL59,33.68,Bos/Bison sp,"M3, lower, right",-8.6,-5.3,25.5
III,AXL59.14,AXL59,36.22,Bos/Bison sp,"M3, lower, right",-8.81,-5.59,25.2
III,AXL60.0,AXL60,NA,Bos/Bison sp,"M2, lower, right",NA,NA,NA
III,AXL60.1,AXL60,4.79,Bos/Bison sp,"M2, lower, right",-8.9,-6.38,24.3
III,AXL60.2,AXL60,7.06,Bos/Bison sp,"M2, lower, right",-9.09,-6.32,24.4
III,AXL60.3,AXL60,9.58,Bos/Bison sp,"M2, lower, right",-9.53,-6.3,24.4
III,AXL60.4,AXL60,11.92,Bos/Bison sp,"M2, lower, right",-9.92,-6.38,24.3
III,AXL60.5,AXL60,14.94,Bos/Bison sp,"M2, lower, right",-9.78,-5.61,25.1
III,AXL60.6,AXL60,18.2,Bos/Bison sp,"M2, lower, right",-9.85,-4.96,25.8
III,AXL60.7,AXL60,21.27,Bos/Bison sp,"M2, lower, right",-9.69,-5.24,25.5
III,AXL60.8,AXL60,24.18,Bos/Bison sp,"M2, lower, right",-9.61,-4.92,25.8
III,AXL60.9,AXL60,26.82,Bos/Bison sp,"M2, lower, right",-9.41,-4.71,26.1
III,AXL60.10,AXL60,29.97,Bos/Bison sp,"M2, lower, right",-9.7,-4.62,26.2
III,AXL60.11,AXL60,32.38,Bos/Bison sp,"M2, lower, right",-9.91,-5.55,25.2
III,AXL60.12,AXL60,35.34,Bos/Bison sp,"M2, lower, right",-9.87,-5.13,25.6
III,AXL60.13,AXL60,38.33,Bos/Bison sp,"M2, lower, right",-9.93,-5.23,25.5
III,AXL60.14,AXL60,41.01,Bos/Bison sp,"M2, lower, right",-9.81,-5.65,25.1
III,AXL60.15,AXL60,44.34,Bos/Bison sp,"M2, lower, right",-9.91,-6.11,24.6
III,AXL60.16,AXL60,46.88,Bos/Bison sp,"M2, lower, right",-9.65,-5.74,25
III,AXL60.17,AXL60,49.42,Bos/Bison sp,"M2, lower, right",-10.05,-6.82,23.9
III,AXL60.18,AXL60,51.94,Bos/Bison sp,"M2, lower, right",-9.8,-6.29,24.4
III,AXL65.0,AXL65,NA,Bos/Bison sp,"M2, lower, right",NA,NA,NA
III,AXL65.1,AXL65,1.81,Bos/Bison sp,"M2, lower, right",NA,NA,NA
III,AXL65.2,AXL65,4.02,Bos/Bison sp,"M2, lower, right",-8.13,-6.68,24
III,AXL65.3,AXL65,6.1,Bos/Bison sp,"M2, lower, right",-8.45,-7.24,23.5
III,AXL65.4,AXL65,8.93,Bos/Bison sp,"M2, lower, right",-8.63,-6.88,23.8
III,AXL65.5,AXL65,12.4,Bos/Bison sp,"M2, lower, right",-8.65,-6.38,24.3
III,AXL65.6,AXL65,15.41,Bos/Bison sp,"M2, lower, right",-8.76,-6.6,24.1
III,AXL65.7,AXL65,18.39,Bos/Bison sp,"M2, lower, right",-8.76,-6.09,24.6
III,AXL65.8,AXL65,22.34,Bos/Bison sp,"M2, lower, right",-9.21,-5.54,25.2
III,AXL65.9,AXL65,25.96,Bos/Bison sp,"M2, lower, right",-9.14,-4.65,26.1
III,AXL65.10,AXL65,28.77,Bos/Bison sp,"M2, lower, right",-9.34,-5.15,25.6
III,AXL65.11,AXL65,32.19,Bos/Bison sp,"M2, lower, right",-9.13,-5.43,25.3
III,AXL65.12,AXL65,35.88,Bos/Bison sp,"M2, lower, right",-9.25,-4.97,25.8
III,AXL65.13,AXL65,38.77,Bos/Bison sp,"M2, lower, right",-9.21,-5.95,24.8
III,AXL65.14,AXL65,42.11,Bos/Bison sp,"M2, lower, right",-8.99,-6.36,24.4
III,AXL66.0,AXL66,NA,Bos/Bison sp,"M3, lower, right",NA,NA,NA
III,AXL66.1,AXL66,2.44,Bos/Bison sp,"M3, lower, right",-8.51,-5.38,25.4
III,AXL66.2,AXL66,4.62,Bos/Bison sp,"M3, lower, right",-8.29,-5.6,25.1
III,AXL66.3,AXL66,6.86,Bos/Bison sp,"M3, lower, right",-8.36,-6.12,24.6
III,AXL66.4,AXL66,8.88,Bos/Bison sp,"M3, lower, right",-8.42,-5.57,25.2
III,AXL66.5,AXL66,10.92,Bos/Bison sp,"M3, lower, right",-8.39,-4.9,25.9
III,AXL66.6,AXL66,13.42,Bos/Bison sp,"M3, lower, right",-8.59,-4.23,26.6
III,AXL66.7,AXL66,15.5,Bos/Bison sp,"M3, lower, right",-8.27,-5.03,25.7
III,AXL66.8,AXL66,17.15,Bos/Bison sp,"M3, lower, right",-8.56,-4.33,26.5
III,AXL66.9,AXL66,19.61,Bos/Bison sp,"M3, lower, right",-9.29,-4.29,26.5
III,AXL66.10,AXL66,22.04,Bos/Bison sp,"M3, lower, right",-9.27,-3.79,27
III,AXL66.11,AXL66,24.07,Bos/Bison sp,"M3, lower, right",-9.31,-3.92,26.9
III,AXL66.12,AXL66,26.36,Bos/Bison sp,"M3, lower, right",-9.48,-4.16,26.6
III,AXL66.13,AXL66,29.13,Bos/Bison sp,"M3, lower, right",-9.34,-4.3,26.5
III,AXL66.14,AXL66,31.82,Bos/Bison sp,"M3, lower, right",-9.44,-4.43,26.3
III,AXL66.15,AXL66,34.44,Bos/Bison sp,"M3, lower, right",-9.12,-4.96,25.8
III,AXL66.16,AXL66,36.23,Bos/Bison sp,"M3, lower, right",-9.77,-5.99,24.7
IV,AXL70.0,AXL70,NA,Bos/Bison sp,"M3, lower, right",NA,NA,NA
IV,AXL70.1,AXL70,2.56,Bos/Bison sp,"M3, lower, right",-8.65,-6.04,24.7
IV,AXL70.2,AXL70,5.41,Bos/Bison sp,"M3, lower, right",-8.76,-6.55,24.2
IV,AXL70.3,AXL70,7.46,Bos/Bison sp,"M3, lower, right",-9,-7.32,23.4
IV,AXL70.4,AXL70,9.86,Bos/Bison sp,"M3, lower, right",-8.82,-6.95,23.8
