X,Layer,Tooth,extremum,d18O_phos,SD
1,III,AXL59,summer,16.6,0.1
2,III,AXL60,summer,17.7,0.4
3,III,AXL65,summer,17,0.6
4,III,AXL66,summer,19.1,0.4
5,IV,AXL70,summer,19.3,0.3
6,VI,AXL77,summer,16.7,0.4
7,VI,AXL86,summer,18.4,0.2
8,III,AXL59,winter,14.5,0.3
9,III,AXL60,winter,15.1,0.1
10,III,AXL65,winter,14,0.3
11,III,AXL66,winter,15.6,0.4
12,IV,AXL70,winter,15,0.3
13,VI,AXL77,winter,13.8,0.2
14,VI,AXL86,winter,16,0.2
15,III,AXL59,MAT.raw.2point,15.6,0.3
16,III,AXL60,MAT.raw.2point,16.4,0.4
17,III,AXL65,MAT.raw.2point,15.5,0.7
18,III,AXL66,MAT.raw.2point,17.4,0.6
19,IV,AXL70,MAT.raw.2point,17.1,0.4
20,VI,AXL77,MAT.raw.2point,15.2,0.4
21,VI,AXL86,MAT.raw.2point,17.2,0.3
