Barandiaran_Level,Gonzalez_Level,technology,Lab_reference,uncal_date,error,Method,Material,taxon_element,sample_code,perc_C,perc_N,CN,d13C,d15N,perc_coll,appr_age,References
III,B and C,Quina Mousterian,new data in this study – OxA-40151,46200,3000,UF-AMS,bone with anthropic breakage,Bos/Bison tibia,AX.11E.255.128/AXL55,32.4,11.5,3.3,-20,6.4,1.1,early MIS 3,"Gonzalez-Urquijo et al., 2021; Gomez-Olivencia et al., 2023"
III,B and C,Quina Mousterian,"Beta-144,262",42010,1280,AMS,bone,unidentified,,,,,,,,early MIS 3,"Gonzalez-Urquijo et al., 2021; Gomez-Olivencia et al., 2023"
III,B and C,Quina Mousterian,"Beta-203,108",42720,900,AMS,bone,Bos/Bison tibia,,,,,,,,early MIS 3,"Gonzalez-Urquijo et al., 2021; Gomez-Olivencia et al., 2023"
IV,D,Quina Mousterian,OxA-32428,>49300,,UF-AMS,bone with anthropic breakage,C. elaphus medial phalanx,AX.11C.290.149,42.3,14.9,3.3,-19.8,3.5,3.1,early MIS 3 /MIS 4,"Marín-Arroyo et al., 2018; Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021"
IV,D,Quina Mousterian,OxA-32429,>49900,,UF-AMS,bone with anthropic breakage,C. elaphus carpal,AX.11C.300.178,43,15.2,3.3,-19.2,6.3,6,early MIS 3 /MIS 4,"Marín-Arroyo et al., 2018; Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021"
IV,D,Quina Mousterian,"Beta-203,107",44920,1950,AMS,bone,Bos/Bison axis,,,,,,,,early MIS 3 /MIS 4,"Marín-Arroyo et al., 2018; Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021"
IV,D,Quina Mousterian,"Beta-225,486",>43000,,AMS,bone,Cervus metapodial,,,,,,,,early MIS 3 /MIS 4,"Marín-Arroyo et al., 2018; Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021"
V,E,Quina Mousterian,,,,,,,,,,,,,,MIS 4,"Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021; Sanchez-Hernandez, 2021"
VI,F,Levallois,"Beta-225,478",>47500,,AMS,bone,Cervus metapodial,,,,,,,,MIS 4,"Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021; Sanchez-Hernandez, 2021"
VI,F,Levallois,"Beta-225,485",33310,360,AMS,bone,Cervus metapodial,,,,,,,,MIS 4,"Gomez-Olivencia et al., 2018; Gonzalez-Urquijo et al., 2021; Sanchez-Hernandez, 2021"
VII,M,Levallois,,,,,,,,,,,,,,MIS 5c,"Sanchez-Hernandez, 2021"
VIII,N,Levallois,,,,,,,,,,,,,,MIS 5c,"Sanchez-Hernandez, 2021"
