,Sample_ID,Layer,Tooth,dist_ERJ,combined_phos,depth,length_raw,sample_length
1,AXL60.1,III,AXL60,4.79,15.6,0.7,4.79,48
2,AXL60.2,III,AXL60,7.06,15.3,0.7,2.27,23
3,AXL60.3,III,AXL60,9.58,16.2,0.7,2.52,25
4,AXL60.4,III,AXL60,11.92,16.9,0.7,2.34,23
5,AXL60.5,III,AXL60,14.94,16.5,0.7,3.02,30
6,AXL60.6,III,AXL60,18.2,17.3,0.7,3.26,33
7,AXL60.7,III,AXL60,21.27,17,0.7,3.07,31
8,AXL60.8,III,AXL60,24.18,17.3,0.7,2.91,29
9,AXL60.9,III,AXL60,26.82,17.7,0.7,2.64,26
10,AXL60.10,III,AXL60,29.97,17.4,0.7,3.15,31
11,AXL60.11,III,AXL60,32.38,17.6,0.7,2.41,24
12,AXL60.12,III,AXL60,35.34,17.1,0.7,2.96,30
13,AXL60.13,III,AXL60,38.33,17,0.7,2.98999999999999,30
14,AXL60.14,III,AXL60,41.01,16.5,0.7,2.68,27
15,AXL60.15,III,AXL60,44.34,15.9,0.7,3.33000000000001,33
16,AXL60.16,III,AXL60,46.88,15.9,0.7,2.54,25
17,AXL60.17,III,AXL60,49.42,15.1,0.7,2.54,25
18,AXL60.18,III,AXL60,51.94,15.4,0.7,2.52,25
