,Sample_ID,Layer,Tooth,dist_ERJ,combined_phos,depth,length_raw,sample_length
1,AXL66.1,III,AXL66,2.44,16.2682141650733,0.7,2.44,24
2,AXL66.2,III,AXL66,4.62,15.8,0.7,2.18,22
3,AXL66.3,III,AXL66,6.86,15.6,0.7,2.24,22
4,AXL66.4,III,AXL66,8.88,15.6,0.7,2.02,20
5,AXL66.5,III,AXL66,10.92,17.4456861143437,0.7,2.04,20
6,AXL66.6,III,AXL66,13.42,17.3316674571708,0.7,2.5,25
7,AXL66.7,III,AXL66,15.5,17.7712124716059,0.7,2.08,21
8,AXL66.8,III,AXL66,17.15,17.8897569470449,0.7,1.65,16
9,AXL66.9,III,AXL66,19.61,18.4,0.7,2.46,25
10,AXL66.10,III,AXL66,22.04,18.5,0.7,2.43,24
11,AXL66.11,III,AXL66,24.07,19.1,0.7,2.03,20
12,AXL66.12,III,AXL66,26.36,17.8359621897266,0.7,2.29,23
13,AXL66.13,III,AXL66,29.13,17.9400108414891,0.7,2.77,28
14,AXL66.14,III,AXL66,31.82,17.6501927124666,0.7,2.69,27
15,AXL66.15,III,AXL66,34.44,18.2390715157274,0.7,2.62,26
16,AXL66.16,III,AXL66,36.23,16.8,0.7,1.79,18
