,Sample_ID,Tooth,Layer,dist_ERJ,combined_phos,depth,length_raw,sample_length
1,AXL77.1,AXL77,VI,1.71,16.6,0.7,1.71,17
2,AXL77.2,AXL77,VI,4.25,16,0.7,2.54,25
3,AXL77.3,AXL77,VI,6.64,15.2,0.7,2.39,24
4,AXL77.4,AXL77,VI,9.36,13.8,0.7,2.72,27
5,AXL77.5,AXL77,VI,11.03,13.9,0.7,1.67,17
6,AXL77.6,AXL77,VI,13.63,14.2,0.7,2.6,26
7,AXL77.7,AXL77,VI,15.56,15.7,0.7,1.93,19
8,AXL77.8,AXL77,VI,17.98,16,0.7,2.42,24
9,AXL77.9,AXL77,VI,20.79,16.5,0.7,2.81,28
10,AXL77.10,AXL77,VI,24.2,16.7,0.7,3.41,34
11,AXL77.11,AXL77,VI,26.56,15.7,0.7,2.36,24
12,AXL77.12,AXL77,VI,28.79,16.3,0.7,2.23,22
13,AXL77.13,AXL77,VI,31.18,16.1,0.7,2.39,24
14,AXL77.14,AXL77,VI,34.47,16.2,0.7,3.29,33
