X,Trial,dMeasd,ci_length,lower_CI,upper_CI,mean,Layer
1,Original data,16.4862405921765,2.3,15.4150000967924,17.571501226034,16.5552897639019,III
2,Original data,16.4862405921765,3.8,16.093031497837,19.5198258377589,17.9258875438091,III
3,Original data,15.7344830107862,7,12.9677290582517,16.2122643903019,14.4515453789693,III
4,Original data,15.2583881822331,9.8,10.3439165236774,14.4535771962934,12.0498978775062,III
5,Original data,15.8255677413285,11.8,10.1961750059714,15.7435536188087,13.3206329347071,III
6,Original data,17.5842253365459,15.5,14.4309780058675,17.1738978635077,15.9401568103207,III
7,Original data,18.1413886317334,19.1,15.4272947261482,18.8596722474086,17.3111074535084,III
8,Original data,17.4787982105566,19.7,12.7822707110027,15.7122982618144,14.30009392896,III
9,Original data,18.0704080058358,21.5,15.3277587767813,18.0257614795864,16.7566744614593,III
10,Original data,18.3219051997911,25.5,16.7072406963778,19.1638697029518,17.8645761286986,III
11,Original data,18.5454383400888,26.5,17.3745337522358,21.7229538066361,19.5533377842847,III
12,Original data,19.254492758701,27.7,17.1954271489637,22.0323063720668,19.7024177593745,III
13,Original data,18.3390692921366,31.6,16.1631060251059,19.3458302191958,17.7895529204531,III
14,Original data,18.0987571018467,34.1,17.3115657206142,20.1446208909563,18.6107871704941,III
15,Original data,18.1936452515432,36.1,17.4738625271033,20.7183187956187,19.0478492131545,III
16,Trial 1,16.9811080737601,2.3,15.1583560949489,17.0706269917546,16.1507709272698,III
17,Trial 1,16.9811080737601,4.9,14.4875882061444,17.9966855879824,16.2234208315811,III
18,Trial 1,15.3841063440125,7.5,11.9570660299213,15.3725809098311,13.8132254565969,III
19,Trial 1,15.767435911212,9.4,10.0558560302692,13.5234545965285,11.7910967632702,III
20,Trial 1,16.066206498213,9.9,9.26717296605781,13.9217832668276,11.1902686646611,III
21,Trial 1,17.8072104271712,12.7,14.5068994671465,18.3873831668516,16.351138103856,III
22,Trial 1,17.2172972169526,13.4,13.5720765834372,16.7744366280267,15.0683072616318,III
23,Trial 1,17.3491252586031,14.5,13.9930265098449,17.7805482975275,15.6736341385563,III
24,Trial 1,18.3096254736127,15.9,16.0585571383696,19.4788062685035,17.8724359830126,III
25,Trial 1,18.4473696630903,16.1,16.2293121574521,19.2016674857597,17.6157588350095,III
26,Trial 1,18.5128213851075,18.1,16.7659365134784,20.960938457776,18.738210819494,III
27,Trial 1,19.0857135458349,20.1,19.3009246392076,22.7709201959682,21.0262928987155,III
28,Trial 1,18.861894604841,21.3,16.6193800745798,20.6979423971592,18.8233474899759,III
29,Trial 1,17.7280147497275,25.1,15.9284737205907,19.4812604156425,17.7456123936318,III
30,Trial 1,16.4084600661457,26.8,13.2278387678998,17.4505597518475,15.1944374048804,III
31,Trial 1,18.1850657205761,29.8,18.4058746693737,21.9764995409247,20.2315073199381,III
32,Trial 1,16.7587231415833,31,14.7089002220032,18.0814449383652,16.3915004999895,III
33,Trial 1,16.7587231415833,33.3,17.6577416744477,19.8824023659908,18.7974273529298,III
34,Trial 1,16.7587231415833,35.6,17.514372879892,19.7306931484389,18.7147418967239,III
35,Trial 1,16.7587231415833,37.9,16.9900928003728,19.5511411245252,18.2615434061825,III
36,Trial 2,16.2072482039768,2.3,14.7337344940039,18.7185869616572,16.5147560445204,III
37,Trial 2,16.2072482039768,3.6,13.6310589809953,17.9344137084655,15.714402391525,III
38,Trial 2,16.0651560853693,6,11.3211637774669,16.0565670537959,13.8393132954928,III
39,Trial 2,15.5180426426432,8,9.47259682775359,14.302517087617,11.7211548893622,III
40,Trial 2,15.2180651474622,9.7,8.53470932757623,16.5605619365397,11.8904596851049,III
41,Trial 2,17.4173238596729,13.5,14.0856906973488,17.928606589212,15.8568803875258,III
42,Trial 2,18.6768699858923,14.8,15.926506267085,20.7315296061452,18.1901974579716,III
43,Trial 2,17.2752652365973,17,12.1019488089033,16.9018251450402,14.5677473010503,III
44,Trial 2,17.9121247605667,18.7,13.5688008306822,18.7233672708164,16.2713513857001,III
45,Trial 2,18.7163214686204,22.2,15.5645426106868,19.4639285671274,17.4988362218089,III
46,Trial 2,18.6418626326064,26.1,16.6166989213964,20.8891860444977,18.5701232049025,III
47,Trial 2,19.3492246967552,27.9,18.9153261424105,23.5385839631514,21.3253312116303,III
48,Trial 2,19.2570539733914,31.6,18.3081033725663,22.0582528692817,20.1748915226415,III
49,Trial 2,17.2254321082116,35.4,15.2035398102963,19.523143792422,17.2960782882182,III
50,Trial 2,17.3000140217104,38.3,15.299007963285,18.950830596549,16.9604525179431,III
51,Trial 3,16.5266588601228,2.3,15.0570945803784,17.1084407455447,16.037185766508,III
52,Trial 3,16.5266588601228,4.8,14.7948288085283,18.1734181866451,16.5387582014217,III
53,Trial 3,15.6980023652575,8.6,10.0639848136416,15.1708959313167,12.7085148076804,III
54,Trial 3,15.8631109790424,8.8,8.6115793728946,15.497409722902,12.2827358417828,III
55,Trial 3,15.2649463033885,10.7,7.99514751034774,13.9249852498664,10.9214364480129,III
56,Trial 3,17.3634561910177,13.4,14.6389255750534,18.4212904132387,16.3897306097549,III
57,Trial 3,18.4808480844385,15.4,15.3017673628825,19.4427868704692,17.2647270692743,III
58,Trial 3,17.1360914875005,17.6,11.0244519493614,15.9355809141586,13.2337646246572,III
59,Trial 3,18.2777131215669,19.4,17.0967217970449,22.0274061944893,19.2265565418137,III
60,Trial 3,18.5541698763873,20.2,14.8697142873092,19.1392338401897,17.1427416421267,III
61,Trial 3,18.6114383372295,22.2,16.7774110346331,20.4681605632474,18.7438684582242,III
62,Trial 3,19.5260713833082,25.9,19.6758569272145,23.807040065371,21.5272124165166,III
63,Trial 3,17.2664744171897,26.9,11.398388846147,17.5759487896919,14.4460658029818,III
64,Trial 3,17.3200846759577,29.1,15.8360285627147,19.4939145581115,17.5900053794556,III
65,Trial 3,18.3515390263154,32,17.6363395484378,21.6974929090112,20.0590712294169,III
66,Trial 3,17.5372650412933,34.5,16.5596140140493,20.7456368541366,18.8619052675935,III
67,Trial 3,16.6158057351604,37.8,15.7399420647538,19.8316210142337,17.7442465255973,III
68,Trial 4,16.3908859687804,2.3,15.4966778167188,18.5284611337112,16.7657529597485,III
69,Trial 4,16.3908859687804,3.5,14.3495653814082,19.9127263944428,17.5376256750929,III
70,Trial 4,15.6370978554408,5,8.72976002782011,15.6800510086204,12.522794370388,III
71,Trial 4,15.7594853824333,7,8.01072950783472,13.7947605349521,10.4023589021437,III
72,Trial 4,15.6030218191309,7.2,8.7105977279257,17.2036717007311,12.143155396812,III
73,Trial 4,17.9858075041982,8.7,17.8306426373096,25.3824890591036,21.2186541102601,III
74,Trial 4,18.5653721982831,11.8,16.7387998198386,21.1470269932317,19.0074413980189,III
75,Trial 4,16.340490420683,12.8,7.31010006678743,12.482515849985,10.4514059868737,III
76,Trial 4,17.9899311925204,14.9,15.9196201012878,19.9527413790091,17.9366929841417,III
77,Trial 4,18.7272265484481,17.1,15.9861056989694,19.6480104249974,17.823312370988,III
78,Trial 4,18.3378970953758,17.3,16.2477098769356,22.1408417198951,19.4254649285459,III
79,Trial 4,19.7791726988077,18.1,17.2127737727119,23.2919231711963,20.5680898045565,III
80,Trial 4,18.1777931590005,21.4,16.064069208461,19.7217178954497,17.8595845420959,III
81,Trial 4,18.5435770959423,23.6,17.4292082521783,20.8575438479513,19.2071088823799,III
82,Trial 4,18.2062590596894,27.6,17.3640669311279,21.2685021980126,18.992964828894,III
83,Trial 4,17.5845171403569,29.8,15.7439448622916,20.0631923037694,17.7868347686017,III
84,Trial 4,17.0544506364935,30.3,14.7265112180222,18.0621850762793,16.5441590748689,III
85,Trial 4,17.0544506364935,32.6,17.1248774789223,20.4368691039845,18.7623806264499,III
86,Trial 4,17.0544506364935,34.9,16.9298138112361,19.4489753308378,18.1137615219285,III
87,Trial 4,17.0544506364935,37.2,16.5979422432521,19.1343667422467,17.9445009163,III
88,Trial 5,16.3568088568212,2.3,15.0222277386398,18.3932820494717,16.619687697209,III
89,Trial 5,16.3568088568212,3.5,13.8787717963366,18.8316589740731,16.2947149595192,III
90,Trial 5,15.8676358883328,4.3,11.6629414978868,15.9591082613253,14.0403158293894,III
91,Trial 5,15.4516532717421,6.2,10.5301156663074,14.0979217922494,12.407390313752,III
92,Trial 5,15.8785071182873,8.7,8.85381425358566,12.9729532733375,10.9749737402678,III
93,Trial 5,18.1016529173387,10.3,18.1441214575878,21.7883237073821,19.9926699918609,III
94,Trial 5,17.2670012403857,11.3,13.2229760785154,18.7570722603573,16.2989376836717,III
95,Trial 5,16.5240334547084,15.1,11.6808703617129,15.0125964394968,13.3214596695962,III
96,Trial 5,17.1942192695857,17.7,13.9156923435123,17.6340571941821,15.8484847148183,III
97,Trial 5,17.9924832375369,20.1,17.1760533149529,20.2475690951558,18.5443737027978,III
98,Trial 5,18.4463145864783,23.2,17.6653401072061,21.7291684162273,19.6070478742486,III
99,Trial 5,18.9116456922296,24.7,18.7271087975017,24.1689037450817,21.7816692580399,III
100,Trial 5,17.0233408843908,25.1,12.5826036973962,18.5976096099792,15.1611328583324,III
101,Trial 5,17.4787177856405,26.9,15.8295963480485,19.1532057407904,17.5107154273713,III
102,Trial 5,18.0839182634777,28.6,18.0976504265147,21.76041486555,19.828972675416,III
103,Trial 5,16.4606235956042,29.8,13.6256887026063,17.968198653877,15.7316973769521,III
104,Trial 5,16.5624995348193,32.1,15.8126801625636,19.4884704493332,17.8319285773122,III
105,Trial 5,16.5624995348193,34.4,16.5794006247211,19.1628540506165,17.7072719561563,III
106,Trial 5,16.5624995348193,36.7,16.7876774773041,18.7795099235479,17.7743571915118,III
107,Trial 5,16.5624995348193,39,16.7753478764593,18.5514958166373,17.6637488653126,III
108,Trial 6,16.666201312253,2.3,15.6032589927218,19.7468014607699,17.1181021279187,III
109,Trial 6,16.666201312253,3.2,14.9500211772934,20.513900028134,18.0706048867455,III
110,Trial 6,15.4391062511811,5.2,9.95061236417355,15.321059178955,12.795056860489,III
111,Trial 6,15.2539813262727,7.7,9.97609450345194,15.2250688649704,12.5721668220577,III
112,Trial 6,15.7391092223603,10.9,9.18614374906189,13.4051419640895,11.36447534227,III
113,Trial 6,17.1587125886114,11.4,15.0061856653175,20.2310925835557,17.8168656351386,III
114,Trial 6,18.4873454561053,13.3,17.2334471667176,20.8172204728429,18.9866918194141,III
115,Trial 6,16.4998516149427,16.6,8.9033380848436,12.590179433431,10.7993631202701,III
116,Trial 6,18.3844795518305,18.2,16.4031251729992,21.4245434158802,18.7064877343758,III
117,Trial 6,18.1917485005134,19.8,15.7643385116175,19.6138126150201,17.4758891114011,III
118,Trial 6,18.6033527409788,23.4,16.8811447300523,20.4214215546965,18.6748399877248,III
119,Trial 6,19.0195582829384,26.1,18.7477889054436,23.2165347985249,21.4174446000084,III
120,Trial 6,17.0857252701025,27.9,11.3879844890432,16.8280712178271,14.0915276381016,III
121,Trial 6,18.2240673508237,30.7,19.2965604554867,22.5252462939872,20.9393366023548,III
122,Trial 6,17.6893816117081,32.1,16.9394969766666,21.0248825813186,18.8474413539678,III
123,Trial 6,17.1472047747874,35.3,15.8622924166026,19.3142188836073,17.5739042972905,III
124,Trial 6,16.8782798129275,38.1,16.0303095924989,19.378879178165,17.8833921696246,III
125,Trial 7,17.399507704661,2.3,16.7560560499852,23.3560995245116,19.6492653707179,III
126,Trial 7,17.399507704661,2.7,11.9098091033848,25.3724326264956,20.1872755648201,III
127,Trial 7,15.7816605087634,4.4,9.34497268968438,16.5453722055642,12.9927711282126,III
128,Trial 7,15.5970556170566,6.1,9.93693175571495,14.9801240401968,12.5145783354056,III
129,Trial 7,15.4302634310038,7.4,9.37747110411193,13.2418772389759,11.3146086102795,III
130,Trial 7,16.7833017873851,7.6,12.8009257784089,18.0975064094772,15.3765040506233,III
131,Trial 7,17.2252083801235,11.1,13.7492440463666,17.6676627723915,15.6106822059507,III
132,Trial 7,17.2455573253299,13.1,13.2664140653251,16.6625102472982,14.7869720787039,III
133,Trial 7,17.8163076350598,14.1,13.3909013167986,17.2652240136507,15.6265116653061,III
134,Trial 7,18.440827118458,17.7,14.960740640831,18.5705282773518,16.4974009153081,III
135,Trial 7,18.3693678937319,19.1,15.0227307327351,18.6104006398818,16.7878903725402,III
136,Trial 7,18.9381739586947,19.4,17.3115174127516,21.1787865118623,19.179416600048,III
137,Trial 7,19.7318153620431,22.5,19.2032775501005,22.5071931524591,21.0123986715059,III
138,Trial 7,19.1593636667712,26.2,19.2379852465035,22.5270949587306,20.9459579340309,III
139,Trial 7,18.5681639281817,28.5,16.7585391184064,20.374187528421,18.6173810707484,III
140,Trial 7,18.19327719668,29.1,14.9446698098282,22.3559367974263,19.0824353986923,III
141,Trial 7,16.3452256402859,29.4,11.3467819910961,16.3986180234033,13.7258787013985,III
142,Trial 7,16.3452256402859,31.7,16.94220277512,20.2182460910577,18.7651149883612,III
143,Trial 7,16.3452256402859,34,18.1257033794816,20.2934091054288,19.0816567379832,III
144,Trial 7,16.3452256402859,36.3,17.8620197620597,19.9514881525379,19.1264185110783,III
145,Trial 7,16.3452256402859,38.6,17.8034665663664,20.2069859593538,18.8724147569889,III
146,Trial 8,16.6624253390385,2.3,15.9888640677544,19.3730372542231,17.4158350775266,III
147,Trial 8,16.6624253390385,3,15.4083631022453,19.6721352432752,17.1524230200274,III
148,Trial 8,16.1143223179431,4.6,11.4473647982175,15.9950481007415,13.5510753434016,III
149,Trial 8,15.7866052170617,7.7,9.25562751006604,13.8319607536549,11.4156454914144,III
150,Trial 8,15.3982306095456,8.9,8.86405729312257,15.3337910749826,11.6719880665271,III
151,Trial 8,17.617702198385,12.8,15.8627073386869,20.5199263050151,17.8465047851031,III
152,Trial 8,17.8090798613892,13.5,14.4966759660803,19.0094230175248,16.734895073889,III
153,Trial 8,17.0391156554161,14.5,11.4002767796916,15.5618572586462,13.1339362467741,III
154,Trial 8,17.2254927413236,14.7,13.2917501875345,17.2672642783143,14.9848015363928,III
155,Trial 8,18.6735401264614,18.7,16.3075055775271,19.7314305743111,18.0190863971431,III
156,Trial 8,18.119767945332,22.5,15.6514411290597,20.1963663016642,18.0016615597856,III
157,Trial 8,19.4072069191188,26.3,18.7821084342502,22.7046526350429,20.7517312690843,III
158,Trial 8,18.268258934395,29.6,17.0035678076011,20.4060173939922,18.627628074153,III
159,Trial 8,18.0025521255482,33.5,17.6371150789237,21.3809498606036,19.5374822564424,III
160,Trial 8,17.3805812134763,36.8,15.408569245154,19.4449254113341,17.5470439966955,III
161,Trial 9,16.403997421194,2.3,13.2708694384104,17.1840633860738,15.4429762228858,III
162,Trial 9,16.403997421194,4.7,11.8109654848527,17.8384187244329,14.8961453408186,III
163,Trial 9,16.0648768980593,5.7,10.3324749158739,16.0969941846053,13.4099582373764,III
164,Trial 9,15.9107435430294,9.4,9.06182107555336,14.8510699667472,11.7358392608638,III
165,Trial 9,15.6822630294047,10.7,10.0031268734071,16.4571611901548,12.4868417292447,III
166,Trial 9,16.9760135090453,12.1,15.746309647636,19.5907610261545,17.6453484696755,III
167,Trial 9,17.8272087748435,13.9,13.0812995006947,17.0809804105385,14.9118280135971,III
168,Trial 9,17.7149680206426,17.7,14.8749351504704,18.0561416615681,16.4194563684612,III
169,Trial 9,18.0768472354494,18.8,14.3132557209314,17.9979877322387,16.2197186694394,III
170,Trial 9,18.4800600511979,21.4,16.3521067224452,19.4253036289667,17.904375682579,III
171,Trial 9,18.4165436102929,23.1,16.4114587689475,19.842509462532,18.2050545270303,III
172,Trial 9,19.4525352838399,25.9,19.0471804519699,22.122018597116,20.8255587265284,III
173,Trial 9,17.905574463307,26.8,13.2271716095748,18.4957721779932,16.1872286466024,III
174,Trial 9,17.8853743513389,27.2,15.517747139445,19.2971213707006,17.8345417974683,III
175,Trial 9,17.7778464679532,30.1,16.9234076463762,21.180517740618,18.7864114898257,III
176,Trial 9,18.0552530345941,31.8,16.620211455498,22.6718096859409,19.6501762698967,III
177,Trial 9,16.3755841006428,35,12.9866004267949,17.2825627342717,15.2161149231637,III
178,Trial 9,16.3755841006428,37.3,17.9610910633432,20.5420493609083,19.1917873497862,III
179,Trial 10,16.2791155098153,2.3,15.270617134709,17.8830577995841,16.4435318477642,III
180,Trial 10,16.2791155098153,5.8,16.2631542913904,20.471704912097,18.0334188002204,III
181,Trial 10,15.9181679037758,6.3,10.9054438345967,15.2577682617022,13.2034982580231,III
182,Trial 10,15.6367054406817,8,10.1194352059333,15.83843188075,13.0749972288448,III
183,Trial 10,16.0608373834855,10.1,9.22030947197394,13.009758548333,11.272819707896,III
184,Trial 10,17.441706312194,11.1,16.2102327552254,21.1109646472914,18.5365993600631,III
185,Trial 10,18.348943959819,11.6,13.0773471704169,21.3380332684628,17.5968501905925,III
186,Trial 10,16.2391768990257,13.1,8.91197401843227,13.6686526446321,11.115786529311,III
187,Trial 10,18.6386531184968,15.7,14.6469488291315,21.1620258908612,17.8224295139094,III
188,Trial 10,18.4633071806358,17.1,15.6091865211186,20.1810621266723,17.8659620352443,III
189,Trial 10,18.3558084128138,18.1,16.4272582096047,20.9718537015681,18.5425874776628,III
190,Trial 10,19.2640523815085,19.9,17.0511227955575,22.5920293457852,20.2042714586837,III
191,Trial 10,18.678058941337,21.2,17.4192048359484,20.7269298929111,19.1096411475657,III
192,Trial 10,18.1717234990646,22.1,14.9218328600089,18.876815962072,17.1236118116221,III
193,Trial 10,18.4233986087496,23.2,18.8167321395111,23.3295818989031,20.9077479575374,III
194,Trial 10,17.609693009533,26.7,14.7655904491442,19.3284444658405,17.3534059723782,III
195,Trial 10,16.7970263820751,27.5,13.0221119968134,17.5662825689766,15.301543628472,III
196,Trial 10,16.7970263820751,29.8,16.4775447616098,20.0967528646437,18.6977153289092,III
197,Trial 10,16.7970263820751,32.1,17.334841142914,20.4474844501822,18.8321046374255,III
198,Trial 10,16.7970263820751,34.4,17.0013201279431,19.8834319463347,18.5671482223289,III
199,Trial 10,16.7970263820751,36.7,17.625159413943,19.5959183607708,18.6099979024102,III
200,Trial 10,16.7970263820751,39,16.9492004213332,19.7201024818689,18.373760793113,III
