X,Trial,Layer,ci_length,lower_CI,upper_CI,mean,Extremum
1,Original data,III,9.8,10.3439165236774,14.4535771962934,12.0498978775062,Minimum
2,Trial 1,III,9.9,9.26717296605781,13.9217832668276,11.1902686646611,Minimum
3,Trial 2,III,8,9.47259682775359,14.302517087617,11.7211548893622,Minimum
4,Trial 3,III,10.7,7.99514751034774,13.9249852498664,10.9214364480129,Minimum
5,Trial 4,III,7,8.01072950783472,13.7947605349521,10.4023589021437,Minimum
6,Trial 5,III,8.7,8.85381425358566,12.9729532733375,10.9749737402678,Minimum
7,Trial 6,III,10.9,9.18614374906189,13.4051419640895,11.36447534227,Minimum
8,Trial 7,III,7.4,9.37747110411193,13.2418772389759,11.3146086102795,Minimum
9,Trial 8,III,7.7,9.25562751006604,13.8319607536549,11.4156454914144,Minimum
10,Trial 9,III,9.4,9.06182107555336,14.8510699667472,11.7358392608638,Minimum
11,Trial 10,III,10.1,9.22030947197394,13.009758548333,11.272819707896,Minimum
12,Original data,III,27.7,17.1954271489637,22.0323063720668,19.7024177593745,Maximum
13,Trial 1,III,20.1,19.3009246392076,22.7709201959682,21.0262928987155,Maximum
14,Trial 2,III,27.9,18.9153261424105,23.5385839631514,21.3253312116303,Maximum
15,Trial 3,III,25.9,19.6758569272145,23.807040065371,21.5272124165166,Maximum
16,Trial 4,III,18.1,17.2127737727119,23.2919231711963,20.5680898045565,Maximum
17,Trial 5,III,24.7,18.7271087975017,24.1689037450817,21.7816692580399,Maximum
18,Trial 6,III,26.1,18.7477889054436,23.2165347985249,21.4174446000084,Maximum
19,Trial 7,III,22.5,19.2032775501005,22.5071931524591,21.0123986715059,Maximum
20,Trial 8,III,26.3,18.7821084342502,22.7046526350429,20.7517312690843,Maximum
21,Trial 9,III,25.9,19.0471804519699,22.122018597116,20.8255587265284,Maximum
22,Trial 10,III,23.2,18.8167321395111,23.3295818989031,20.9077479575374,Maximum
