X,Tooth,dMeasd,ci_length,lower_CI,upper_CI,mean,Layer
1,AXL59,15.2543090172265,2.6,15.2590845775912,18.4872911973225,16.8178529365847,III
2,AXL59,15.2543090172265,4.5,15.1478264155158,18.8950791220494,16.6499771390873,III
3,AXL59,14.5727567911407,7.8,12.1628325548956,15.8252796030569,13.8237366770034,III
4,AXL59,14.7485527224342,10.8,10.2578652764674,14.5959668361922,12.4959888128566,III
5,AXL59,14.744063746025,12.7,10.8893178357059,14.9598676802852,12.783859310986,III
6,AXL59,15.5214693167064,15.6,10.6361480628002,14.8367208388405,12.5814420926717,III
7,AXL59,16.905496908291,16.1,16.0885384449617,21.6235787872214,18.5178828757943,III
8,AXL59,16.1862451326619,19,13.9521641208523,17.588921231715,15.573464138784,III
9,AXL59,16.4704442513707,20,14.1641538069945,18.70115443252,15.992488908285,III
10,AXL59,16.3996521167759,21,11.6261138541308,17.2046234570476,14.4261896321545,III
11,AXL59,16.3600356921177,24.4,13.9419713191858,18.173750442201,15.8958748040396,III
12,AXL59,16.9003014742414,24.8,14.645171776154,18.2095489531317,16.4614283897871,III
13,AXL59,16.5942308315091,26,14.3337736534494,18.3693001499421,16.2489169449305,III
14,AXL59,16.7299483115012,26.5,14.2694544994637,19.1627807752336,16.5834951049626,III
15,AXL59,16.215635289131,27.1,13.514042467676,17.2997514130444,15.5482014722335,III
16,AXL59,16.215635289131,29.7,15.2756486438287,18.2058970999105,16.7148766794307,III
17,AXL59,16.215635289131,32.3,16.0646801204604,18.2956807471361,17.1762344072066,III
18,AXL59,16.215635289131,34.9,16.189337249466,19.6201730156159,17.3580865530537,III
19,AXL59,16.215635289131,37.5,15.4966090649658,18.7754231668173,17.0730153172786,III
20,AXL60,15.9301588926889,2.9,14.9923265948317,16.9812755377648,15.9562405770001,III
21,AXL60,15.9301588926889,5.9,13.2883414115424,16.5484390655016,15.0353145274212,III
22,AXL60,15.4429868651241,7.4,10.6692051787786,15.1224660263517,13.0249045534485,III
23,AXL60,16.2551229890398,10.8,14.1247369462871,17.9816036063531,15.8099835480464,III
24,AXL60,16.7011747741886,13.9,15.0916526792822,18.7588734051035,17.0104393657356,III
25,AXL60,16.3773761087602,17.1,12.111892690841,15.4618550267198,14.0323688412336,III
26,AXL60,17.2258548858152,19.9,15.2892903657455,19.0034435870402,17.0120257360104,III
27,AXL60,16.6681080779814,23.2,12.6688690916511,16.3045204392935,14.5505734214312,III
