X,Tooth,Layer,ci.length,lower_CI,upper_CI,mean,Extremum
1,AXL59,III,10.8,10.2578652764674,14.5959668361922,12.4959888128566,Minimum
2,AXL59,III,16.1,16.0885384449617,21.6235787872214,18.5178828757943,Maximum
3,AXL60,III,7.4,10.6692051787786,15.1224660263517,13.0249045534485,Minimum
4,AXL60,III,33.6,17.9655418322338,22.1064764545888,19.7943179676019,Maximum
5,AXL65,III,15.4,11.0837538340056,14.1226351615664,12.673979693307,Minimum
6,AXL65,III,26.3,15.8036358665519,19.6309627890172,17.8444719112139,Maximum
7,AXL66,III,11.3,10.4205946340195,14.084954463326,12.1492226321257,Minimum
8,AXL66,III,29.9,16.584243141364,21.8280185371482,19.7132448845408,Maximum
9,AXL70,IV,10.5,7.62773376265519,12.3680691349968,10.1405527559161,Minimum
10,AXL70,IV,20,19.290551449855,22.4534615525369,20.9724405072708,Maximum
11,AXL77,VI,12.1,10.0149927781932,13.3103040460262,11.48706543708,Minimum
12,AXL77,VI,2.7,16.4662128378699,22.3325889413463,19.7309578731551,Maximum
13,AXL86,VI,9.5,10.4709201372558,13.6197865293615,12.1126450253836,Minimum
14,AXL86,VI,17.7,18.9580429136158,22.2681682250954,20.6358056918111,Maximum
